trial,width,offset,ext_offset,repeat,status,randomness_hex,input_packet_hex,input_w0,input_w1,input_w2,input_w3,expected_output,glitched_output,fault_byte_count,fault_byte_positions_0_indexed,xor_diffs_hex
90,-10,14,64,5,fault,01010100,14fcf321176a8beb9bacdbd151cc37d0,0x21f3fc14,0xeb8b6a17,0xd1dbac9b,0xd037cc51,104902c012496ac0,14fcf32112496ac0,4,0;1;2;3,04;b5;f1;e1
91,-10,14,64,5,fault,01010100,90fb65279fd432ebeb1b4bba9b694d62,0x2765fb90,0xeb32d49f,0xba4b1beb,0x624d699b,9a4101629a6307aa,90fb65279a6307aa,4,0;1;2;3,0a;ba;64;45
92,-10,14,64,5,fault,01010100,579d21097c2c1739dba2206ef022d8b2,0x09219d57,0x39172c7c,0x6e20a2db,0xb2d822f0,712111305aa12120,579d21095aa12120,4,0;1;2;3,26;bc;30;39
93,-10,14,64,5,fault,01010100,f1d384a9fa850b2533d95727f1c5c7fc,0xa984d3f1,0x250b85fa,0x2757d933,0xfcc7c5f1,f1840224f39082ac,f1d384a9f39082ac,3,1;2;3,57;86;8d
94,-10,14,64,5,fault,01010100,87de545b9d84d13aad715baa1f1d71e1,0x5b54de87,0x3ad1849d,0xaa5b71ad,0xe1711d1f,1c0550200e4d5061,87de545b0e4d5061,4,0;1;2;3,9b;db;04;7b
95,-10,14,64,5,fault,01010100,778226c17372b0ebe6e8cebec2e47f13,0xc1268277,0xebb07273,0xbecee8e6,0x137fe4c2,436131034761a12b,778226c14761a12b,4,0;1;2;3,34;e3;17;c2
96,-10,14,64,5,fault,01010100,730645a231b0e7004fc185865af2e191,0xa2450673,0x00e7b031,0x8685c14f,0x91e1f25a,11b1e0001183c002,730645a21183c002,4,0;1;2;3,62;b7;a5;a2
97,-10,14,64,5,fault,01010100,e005d5ac243a65f662bed5b7d41df2b0,0xacd505e0,0xf6653a24,0xb7d5be62,0xb0f21dd4,051961b0813a41b2,e005d5ac813a41b2,4,0;1;2;3,e5;1c;b4;1c
98,-10,14,64,5,fault,01010100,d9a93d38addf67d997700ad9cee013d2,0x383da9d9,0xd967dfad,0xd90a7097,0xd213e0ce,8dc102d0ddd11ad1,d9a93d38ddd11ad1,4,0;1;2;3,54;68;3f;e8
99,-10,14,64,5,fault,01010100,d959ba9aef061d73c22cbe69b5f62469,0x9aba59d9,0x731d06ef,0x69be2cc2,0x6924f6b5,a4070561925d8761,d959ba9a925d8761,4,0;1;2;3,7d;5e;bf;fb
100,-10,14,64,5,fault,01010100,af2a92154e7dcd222d0459b17efda84a,0x15922aaf,0x22cd7d4e,0xb159042d,0x4aa8fd7e,4f7c89020e2dd831,af2a92150e2dd831,4,0;1;2;3,e0;56;1b;17
101,-10,14,64,5,fault,01010100,7f5c9168da69eeb954f17889c3c073e2,0x68915c7f,0xb9ee69da,0x8978f154,0xe273c0c3,c34163a0467068e1,7f5c9168467068e1,4,0;1;2;3,bc;1d;f2;c8
102,-10,14,64,5,fault,01010100,ff739b90ad528a944c1a0062b26c4015,0x909b73ff,0x948a52ad,0x62001a4c,0x15406cb2,a1410114f3610110,ff739b90f3610110,4,0;1;2;3,5e;32;9a;84
103,-10,14,64,5,fault,01010100,e34728835eb21fe801571512aaaa3bc1,0x832847e3,0xe81fb25e,0x12155701,0xc13baaaa,0ba31ac0a2563c83,e3472883a2563c83,4,0;1;2;3,e8;e4;32;43
104,-10,14,64,5,fault,01010100,86d18a61bf47673cabe6aa0f11aec954,0x618ad186,0x3c6747bf,0x0faae6ab,0x54c9ae11,100740142807214d,86d18a612807214d,4,0;1;2;3,96;d6;ca;75
105,-10,14,64,5,fault,01010100,1fba46110549947bbb99fd4a83b858fd,0x1146ba1f,0x7b944905,0x4afd99bb,0xfd58b883,000911791828915b,1fba46111828915b,4,0;1;2;3,1f;b3;57;68
106,-10,14,64,5,fault,01010100,74661c9731dc74685112e2c7f00163da,0x971c6674,0x6874dc31,0xc7e21251,0xda6301f0,3101614830136155,74661c9730136155,4,0;1;2;3,45;67;7d;df
107,-10,14,64,5,fault,01010100,23541fb0fff8a5821eab6984aa163770,0xb01f5423,0x82a5f8ff,0x8469ab1e,0x703716aa,ab1124003fbd3e30,23541fb03fbd3e30,4,0;1;2;3,88;45;3b;b0
108,-10,14,64,5,fault,01010100,8587b567ea34a2cbe97f78216685a2fc,0x67b58785,0xcba234ea,0x21787fe9,0xfca28566,6305a3c86cb7b144,8587b5676cb7b144,4,0;1;2;3,e6;82;16;af
109,-10,14,64,5,fault,01010100,c5a8be612eceb6e0876270413c1573c1,0x61bea8c5,0xe0b6ce2e,0x41706287,0xc173153c,2d0533c086633340,c5a8be6186633340,4,0;1;2;3,e8;ad;8d;a1
110,-10,14,64,5,fault,01010100,69dfddcad71d8c58a2c219c2813c721c,0xcadddf69,0x588c1dd7,0xc219c2a2,0x1c723c81,801d0118a2df408a,69dfddcaa2df408a,4,0;1;2;3,e9;c2;dc;d2
111,-10,14,64,5,fault,01010100,b623f87238a54fb422f31539f832ea24,0x72f823b6,0xb44fa538,0x3915f322,0x24ea32f8,39214b24b3a1fc20,b623f872b3a1fc20,4,0;1;2;3,8f;02;b3;56
112,-10,14,64,5,fault,01010100,28431954d212a6b27835789532c7f299,0x54194328,0xb2a612d2,0x95783578,0x99f2c732,1303a39059532994,2843195459532994,4,0;1;2;3,3b;40;ba;c4
113,-10,14,64,5,fault,01010100,0f4d60630accfa9dfccaff2676260e47,0x63604d0f,0x9dfacc0a,0x26ffcafc,0x470e2676,03050b0503859b65,0f4d606303859b65,4,0;1;2;3,0c;48;6b;66
114,-10,14,64,5,fault,01010100,015510c60f1074e9d2b90f5306240fc1,0xc6105501,0xe974100f,0x530fb9d2,0xc10f2406,070105c1030405c3,015510c6030405c3,4,0;1;2;3,06;54;15;07
115,-10,14,64,5,fault,01010100,828d7261f4cd34bd97a2a0752168eab0,0x61728d82,0xbd34cdf4,0x75a0a297,0xb0ea6821,214921b017096374,828d726117096374,4,0;1;2;3,a3;c4;53;d1
116,-10,14,64,5,fault,01010100,1c973d4db3d445c2a0e50311f1687a97,0x4d3d971c,0xc245d4b3,0x1103e5a0,0x977a68f1,b0414182b1403904,1c973d4db1403904,4,0;1;2;3,ac;d6;7c;cf
