trial,width,offset,ext_offset,repeat,status,clean_output,output,fault_byte_count,fault_byte_positions_0_indexed
323,2,-3,63,1,fault,010716050d031201,010716050d001000,3,5;6;7
324,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
325,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
326,2,-3,63,1,no_response,010716050d031201,,0,
327,2,-3,63,1,fault,010716050d031201,010716050d001000,3,5;6;7
328,2,-3,63,1,fault,010716050d031201,010716050d001000,3,5;6;7
329,2,-3,63,1,no_response,010716050d031201,,0,
330,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
331,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
332,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
333,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
334,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
335,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
336,2,-3,63,1,fault,010716050d031201,010716050d001000,3,5;6;7
337,2,-3,63,1,no_response,010716050d031201,,0,
338,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
339,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
340,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
341,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
342,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
343,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
344,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
345,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
346,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
347,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
348,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
349,2,-3,63,1,fault,010716050d031201,0107160509081808,4,4;5;6;7
350,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
351,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
352,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
353,2,-3,63,1,fault,010716050d031201,010716050d001000,3,5;6;7
354,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
355,2,-3,63,1,fault,010716050d031201,010716050d001000,3,5;6;7
356,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
357,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
358,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
359,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
360,2,-3,63,1,fault,010716050d031201,010716050d001000,3,5;6;7
361,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
362,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
363,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
364,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
365,2,-3,63,1,no_response,010716050d031201,,0,
366,2,-3,63,1,fault,010716050d031201,0107160509081808,4,4;5;6;7
367,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
368,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
369,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
370,2,-3,63,1,fault,010716050d031201,0107160509081808,4,4;5;6;7
371,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
372,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
373,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
374,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
375,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
376,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
377,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
378,2,-3,63,1,fault,010716050d031201,010716050d001000,3,5;6;7
379,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
380,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
381,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
382,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
383,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
384,2,-3,63,1,fault,010716050d031201,0107160509081808,4,4;5;6;7
385,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
386,2,-3,63,1,fault,010716050d031201,0107160509081808,4,4;5;6;7
387,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
388,2,-3,63,1,no_response,010716050d031201,,0,
389,2,-3,63,1,no_response,010716050d031201,,0,
390,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
391,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
392,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
393,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
394,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
395,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
396,2,-3,63,1,fault,010716050d031201,0107160509081808,4,4;5;6;7
397,2,-3,63,1,fault,010716050d031201,0107160509081808,4,4;5;6;7
398,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
399,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
400,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
401,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
402,2,-3,63,1,no_response,010716050d031201,,0,
403,2,-3,63,1,no_response,010716050d031201,,0,
404,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
405,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
406,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
407,2,-3,63,1,fault,010716050d031201,010716050d001000,3,5;6;7
408,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
409,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
410,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
411,2,-3,63,1,no_response,010716050d031201,,0,
412,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
413,2,-3,63,1,fault,010716050d031201,010716050d001000,3,5;6;7
414,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
415,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
416,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
417,2,-3,63,1,fault,010716050d031201,010716050d001000,3,5;6;7
418,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
419,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
420,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
421,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
422,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
423,2,-3,63,1,fault,010716050d031201,010716050d001000,3,5;6;7
424,2,-3,63,1,fault,010716050d031201,010716050d001000,3,5;6;7
425,2,-3,63,1,fault,010716050d031201,010716050d001000,3,5;6;7
426,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
427,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
428,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
429,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
430,2,-3,63,1,fault,010716050d031201,010716050d001000,3,5;6;7
431,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
432,2,-3,63,1,fault,010716050d031201,010716050d001000,3,5;6;7
433,2,-3,63,1,fault,010716050d031201,010716050d001000,3,5;6;7
434,2,-3,63,1,fault,010716050d031201,010716050d001000,3,5;6;7
435,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
436,2,-3,63,1,normal,010716050d031201,010716050d031201,0,
437,2,-3,63,1,fault,010716050d031201,010716050d001000,3,5;6;7
438,2,-3,63,1,fault,010716050d031201,010716050d001000,3,5;6;7
