trial,width,offset,ext_offset,repeat,status,model_match,randomness_word_hex,randomness_bytes_hex,input_packet_hex,input_w0,input_w1,input_w2,input_w3,expected_hw_output,expected_sw_output,glitched_output,expected_fault_model_output,fault_byte_count,fault_byte_positions_0_indexed,xor_diffs_hex,expected_z0,expected_z1,glitched_z0,glitched_z1,model_fault_z0,model_fault_z1
32,-10,14,67,1,fault,other_fault,0x41f3638e,8e63f341,783ccabf7b7bc83c5e96bd1655bc4f6a,0xbfca3c78,0x3cc87b7b,0x16bd965e,0x6a4fbc55,df5bbb69dc59b969,df5bbb69dc59b969,513848285b168a16,df5bbb6958148816,8,0;1;2;3;4;5;6;7,8e;63;f3;41;87;4f;33;7f,0x69bb5bdf,0x69b959dc,0x28483851,0x168a165b,0x69bb5bdf,0x16881458
33,-10,14,67,1,fault,other_fault,0x004191a7,a7914100,38f421dd022d44834ca30263fb2e1d95,0xdd21f438,0x83442d02,0x6302a34c,0x951d2efb,a5bd4581973440d7,a5bd4581973440d7,022c04813a290517,a5bd458108a00041,7,0;1;2;4;5;6;7,a7;91;41;ad;1d;45;c0,0x8145bda5,0xd7403497,0x81042c02,0x1705293a,0x8145bda5,0x4100a008
34,-10,14,67,1,fault,other_fault,0xdd908c0e,0e8c90dd,5a0d057d7016ec7e1454ffd40534c76b,0x7d050d5a,0x7eec1670,0xd4ff5414,0x6bc73405,0e9854b70e987cb4,0e9854b70e987cb4,0014c46a10042d57,0e9854b710040554,8,0;1;2;3;4;5;6;7,0e;8c;90;dd;1e;9c;51;e3,0xb754980e,0xb47c980e,0x6ac41400,0x572d0410,0xb754980e,0x54050410
35,-10,14,67,1,fault,other_fault,0x232e9d30,309d2e23,5c36ef1be1d4176f0689eb04c0958d38,0x1bef365c,0x6f17d4e1,0x04eb8906,0x388d95c0,f0092b0b74094b3f,f0092b0b74094b3f,c094052880008b34,f0092b0b0400eb00,8,0;1;2;3;4;5;6;7,30;9d;2e;23;f4;09;c0;0b,0x0b2b09f0,0x3f4b0974,0x280594c0,0x348b0080,0x0b2b09f0,0x00eb0004
36,-10,14,67,1,fault,other_fault,0x837e8b60,608b7e83,23ce1e3255032e618e5cf12f41da37c1,0x321ece23,0x612e0355,0x2ff15c8e,0xc137da41,218958c2670d5880,218958c2670d5880,4102264144c81060,218958c2024c1022,8,0;1;2;3;4;5;6;7,60;8b;7e;83;23;c5;48;e0,0xc2588921,0x80580d67,0x41260241,0x6010c844,0xc2588921,0x22104c02
37,-10,14,67,1,fault,other_fault,0xa901711a,1a7101a9,cd1d0eb31a15cd78e633dcc6c116ff8d,0xb30e1dcd,0x78cd151a,0xc6dc33e6,0x8dff16c1,1a65cca11d65cfea,1a65cca11d65cfea,0014cd08c3110fc9,1a65cca1c4110c82,8,0;1;2;3;4;5;6;7,1a;71;01;a9;de;74;c0;23,0xa1cc651a,0xeacf651d,0x08cd1400,0xc90f11c3,0xa1cc651a,0x820c11c4
38,-10,14,67,1,fault,other_fault,0xc887f21e,1ef287c8,b6a206dabc52b0598b1e66883b7053fe,0xda06a2b6,0x59b052bc,0x88661e8b,0xfe53703b,26a2979026c2a392,26a2979026c2a392,385010588262328a,26a2979082020688,8,0;1;2;3;4;5;6;7,1e;f2;87;c8;a4;a0;91;18,0x9097a226,0x92a3c226,0x58105038,0x8a326282,0x9097a226,0x88060282
39,-10,14,67,1,fault,other_fault,0xef7b9bb2,b29b7bef,5f02cd94a267591c9cbf406ec3e52df3,0x94cd025f,0x1c5967a2,0x6e40bf9c,0xf32de5c3,30fe72ff6dbe7677,30fe72ff6dbe7677,826509104142448c,30fe72ff1c024004,8,0;1;2;3;4;5;6;7,b2;9b;7b;ef;2c;fc;32;fb,0xff72fe30,0x7776be6d,0x10096582,0x8c444241,0xff72fe30,0x0440021c
40,-10,14,67,1,fault,other_fault,0xd997ae1f,1fae97d9,6c6f5d9b804689ee3ff9fc698fe812c2,0x9b5d6f6c,0xee894680,0x69fcf93f,0xc212e88f,9fee971b3fef533a,9fee971b3fef533a,804000c28c689828,9fee971b2c695c09,8,0;1;2;3;4;5;6;7,1f;ae;97;d9;b3;87;cb;12,0x1b97ee9f,0x3a53ef3f,0xc2004080,0x2898688c,0x1b97ee9f,0x095c692c
41,-10,14,67,1,fault,other_fault,0xce108ae9,e98a10ce,c407783f48ac8307f5799120121624f4,0x3f7807c4,0x0783ac48,0x209179f5,0xf4241612,e98e10ca6da5a1da,e98e10ca6da5a1da,00040004402aa130,e98e10cac4011020,7,0;1;2;3;4;5;7,e9;8a;10;ce;2d;8f;ea,0xca108ee9,0xdaa1a56d,0x04000400,0x30a12a40,0xca108ee9,0x201001c4
42,-10,14,67,1,fault,other_fault,0x4f109581,8195104f,88493b8d184fd878f236ea784271d9f3,0x8d3b4988,0x78d84f18,0x78ea36f2,0xf3d97142,81d4c83f11d2ebbe,81d4c83f11d2ebbe,0041d87010060989,81d4c83f80002a08,8,0;1;2;3;4;5;6;7,81;95;10;4f;01;d4;e2;37,0x3fc8d481,0xbeebd211,0x70d84100,0x89090610,0x3fc8d481,0x082a0080
43,-10,14,67,1,fault,other_fault,0xe69eb164,64b19ee6,7b2208ba064451c5b96564a41dff8d08,0xba08227b,0xc5514406,0xa46465b9,0x088dff1d,60f59fe644f7d6ca,60f59fe644f7d6ca,044401001d22498c,60f59fe6392000a0,8,0;1;2;3;4;5;6;7,64;b1;9e;e6;59;d5;9f;46,0xe69ff560,0xcad6f744,0x00014404,0x8c49221d,0xe69ff560,0xa0002039
44,-10,14,67,1,fault,other_fault,0x835ca6e1,e1a65c83,b020b0b3f7c93a8a2a0fa57ce0751275,0xb3b020b0,0x8a3ac9f7,0x7ca50f2a,0x751275e0,01e74e83438fcc8a,01e74e83438fcc8a,e041120062682239,01e74e832000a030,8,0;1;2;3;4;5;6;7,e1;a6;5c;83;21;e7;ee;b3,0x834ee701,0x8acc8f43,0x001241e0,0x39226862,0x834ee701,0x30a00020
45,-10,14,67,1,fault,other_fault,0x0be1109d,9d10e10b,a631f297a9d31c761facfe3bf55c9973,0x97f231a6,0x761cd3a9,0x3bfeac1f,0x73995cf5,3c40f97936a09f39,3c40f97936a09f39,a15018720cc09453,3c40f9790620f213,8,0;1;2;3;4;5;6;7,9d;10;e1;0b;3a;60;0b;6a,0x79f9403c,0x399fa036,0x721850a1,0x5394c00c,0x79f9403c,0x13f22006
46,-10,14,67,1,fault,other_fault,0x7fc09f7e,7e9fc07f,2efd2c32ac8e37fa59f640eb56508ae2,0x322cfd2e,0xfa378eac,0xeb40f659,0xe28a5056,7a9fc29d78bdc895,7a9fc29d78bdc895,040002e20ad60a2a,7a9fc29d08f40022,8,0;1;2;3;4;5;6;7,7e;9f;c0;7f;72;6b;c2;bf,0x9dc29f7a,0x95c8bd78,0xe2020004,0x2a0ad60a,0x9dc29f7a,0x2200f408
47,-10,14,67,1,fault,other_fault,0x262cae0a,0aae2c26,614172b96a0eaeb17d0e73ad36acf201,0xb9724161,0xb1ae0e6a,0xad730e7d,0x01f2ac36,28a28e2723a00e2f,28a28e2723a00e2f,220ca2016a02f2a1,28a28e27610072a9,8,0;1;2;3;4;5;6;7,0a;ae;2c;26;49;a2;fc;8e,0x278ea228,0x2f0ea023,0x01a20c22,0xa1f2026a,0x278ea228,0xa9720061
48,-10,14,67,1,fault,other_fault,0x22921422,22149222,3ab6205f4599e9828c0c8a258e25969b,0x5f20b63a,0x82e99945,0x258a0c8c,0x9b96258e,261512a0243c1a3c,261512a0243c1a3c,040180820a2d0899,261512a008040005,8,0;1;2;3;4;5;6;7,22;14;92;22;2e;11;12;a5,0xa0121526,0x3c1a3c24,0x82800104,0x99082d0a,0xa0121526,0x05000408
49,-10,14,67,1,fault,other_fault,0x6914ee75,75ee1469,ab53fca07f3f064a99c5aef18fc0d046,0xa0fc53ab,0x4a063f7f,0xf1aec599,0x46d0c08f,7aee142b6eea6e89,7aee142b6eea6e89,0f0000429d45d602,7aee142b8941aca0,8,0;1;2;3;4;5;6;7,75;ee;14;69;f3;af;b8;8b,0x2b14ee7a,0x896eea6e,0x4200000f,0x02d6459d,0x2b14ee7a,0xa0ac4189
50,-10,14,67,1,fault,other_fault,0x1863861c,1c866318,c561871d154459765badac589bfd8d57,0x1d8761c5,0x76594415,0x58acad5b,0x578dfd9b,0dc26a4ecdc26a45,0dc26a4ecdc26a45,1144095681218413,0dc26a4e41218418,8,0;1;2;3;4;5;6;7,1c;86;63;18;4c;e3;ee;56,0x4e6ac20d,0x456ac2cd,0x56094411,0x13842181,0x4e6ac20d,0x18842141
51,-10,14,67,1,fault,other_fault,0xbe9f8f15,158f9fbe,afd02091e2888d9f0c9d9a77735bbacf,0x9120d0af,0x9f8d88e2,0x779a9d0c,0xcfba5b73,778717313ac73739,778717313ac73739,6208888f41d02019,778717310c900011,8,0;1;2;3;4;5;6;7,15;8f;9f;be;7b;17;17;20,0x31178777,0x3937c73a,0x8f880862,0x1920d041,0x31178777,0x1100900c
52,-10,14,67,1,fault,other_fault,0x11627c35,357c6211,eb5b035f8654043747a44130b0fe8356,0x5f035beb,0x37045486,0x3041a447,0x5683feb0,b5286207d0226067,b5286207d0226067,80540016260a0370,b528620743000110,8,0;1;2;3;4;5;6;7,35;7c;62;11;f6;28;63;17,0x076228b5,0x676022d0,0x16005480,0x70030a26,0x076228b5,0x10010043
53,-10,14,67,1,fault,other_fault,0x21ead785,85d7ea21,18d31cb30e23c53fa9d0aa0f4b26f60f,0xb31cd318,0x3fc5230e,0x0faad0a9,0x0ff6264b,8ff52e2e8d05762e,8ff52e2e8d05762e,0a22c40f0a205003,8ff52e2e08d00803,8,0;1;2;3;4;5;6;7,85;d7;ea;21;87;25;26;2d,0x2e2ef58f,0x2e76058d,0x0fc4220a,0x0350200a,0x2e2ef58f,0x0308d008
54,-10,14,67,1,fault,other_fault,0x2108dc01,01dc0821,86d76e3718b01f0ba4a729c07e18ccfa,0x376ed786,0x0b1fb018,0xc029a7a4,0xfacc187e,19cc042b83eb6513,19cc042b83eb6513,18100c0a1ea04938,19cc042b84872800,8,0;1;2;3;4;5;6;7,01;dc;08;21;9d;4b;2c;2b,0x2b04cc19,0x1365eb83,0x0a0c1018,0x3849a01e,0x2b04cc19,0x00288784
55,-10,14,67,1,fault,other_fault,0x2714b29c,9cb21427,a1d786ca9e049e3d2f2ea9d503e100d4,0xca86d7a1,0x3d9e049e,0xd5a92e2f,0xd400e103,9eb21433b2711c32,9eb21433b2711c32,020000140dc588c1,9eb21433210680c0,8,0;1;2;3;4;5;6;7,9c;b2;14;27;bf;b4;94;f3,0x3314b29e,0x321c71b2,0x14000002,0xc188c50d,0x3314b29e,0xc0800621
56,-10,14,67,1,fault,other_fault,0xac9b1e62,621e9bac,aeeffa5c1c54f1317b3d4d465c768dfb,0x5cfaefae,0x31f1541c,0x464d3d7b,0xfb8d765c,7e4a1a9d5c411ab0,7e4a1a9d5c411ab0,1c54813108264869,7e4a1a9d2a2d4844,8,0;1;2;3;4;5;6;7,62;1e;9b;ac;54;67;52;d9,0x9d1a4a7e,0xb01a415c,0x3181541c,0x69482608,0x9d1a4a7e,0x44482d2a
57,-10,14,67,1,fault,other_fault,0xf711f620,20f611f7,58316b683496804e14ac17699063eb83,0x686b3158,0x4e809634,0x6917ac14,0x83eb6390,30f491f5347379d7,30f491f5347379d7,1002800214a7eb4a,30f491f510200368,8,0;1;2;3;4;5;6;7,20;f6;11;f7;20;d4;92;9d,0xf591f430,0xd7797334,0x02800210,0x4aeba714,0xf591f430,0x68032010
58,-10,14,67,1,fault,other_fault,0xdb16a160,60a116db,4032d706cdcd79ea857accf494abf47e,0x06d73240,0xea79cdcd,0xf4cc7a85,0x7ef4ab94,e42866b1e5f94e39,e42866b1e5f94e39,8489706a01e3ec8c,e42866b10032c404,8,0;1;2;3;4;5;6;7,60;a1;16;db;e4;1a;a2;b5,0xb16628e4,0x394ef9e5,0x6a708984,0x8cece301,0xb16628e4,0x04c43200
59,-10,14,67,1,fault,other_fault,0x99f03e02,023ef099,63cd403e5b2442765fc733b11ed3cbf2,0x3e40cd63,0x7642245b,0xb133c75f,0xf2cbd31e,183eb2eb183eb2ab,183eb2eb183eb2ab,1a00427243c50070,183eb2eb43c50030,8,0;1;2;3;4;5;6;7,02;3e;f0;99;5b;fb;b2;db,0xebb23e18,0xabb23e18,0x7242001a,0x7000c543,0xebb23e18,0x3000c543
