trial,width,offset,ext_offset,repeat,status,clean_output,output,fault_byte_count,fault_byte_positions_0_indexed
206,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
207,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
208,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
209,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
210,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
211,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
212,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
213,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
214,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
215,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
216,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
217,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
218,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
219,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
220,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
221,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
222,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
223,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
224,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
225,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
226,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
227,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
228,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
229,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
230,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
231,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
232,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
233,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
234,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
235,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
236,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
237,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
238,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
239,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
240,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
241,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
242,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
243,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
244,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
245,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
246,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
247,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
248,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
249,-10,14,67,1,fault,000706050c030201,0007060504030201,1,4
